Time_s,Current_A,File,Filter,Angle,Freq
7.500000000000562e-06,-2.86243e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
1.7500000000000154e-05,-2.86243e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
2.7500000000000614e-05,-2.79569e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
3.750000000000021e-05,-2.82906e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
4.750000000000067e-05,-2.76231e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
5.750000000000026e-05,-2.79569e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
6.750000000000072e-05,-2.76231e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
7.750000000000031e-05,-2.76231e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
8.750000000000077e-05,-2.79569e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
9.750000000000036e-05,-2.79569e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00010750000000000082,-2.79569e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00011750000000000042,-2.76231e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00012750000000000088,-2.79569e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00013750000000000047,-2.72894e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00014750000000000093,-2.6622e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00015750000000000052,-2.69557e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00016750000000000011,-2.69557e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00017750000000000057,-2.6622e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00018750000000000017,-2.6622e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00019750000000000063,-2.62883e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00020750000000000109,-2.62883e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00021750000000000068,-2.56208e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00022750000000000027,-2.59545e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00023749999999999986,-2.56208e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0002475000000000012,-2.59545e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0002575000000000008,-2.56208e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0002675000000000004,-2.52871e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00027749999999999997,-2.56208e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0002875000000000013,-2.52871e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0002975000000000009,-2.52871e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0003075000000000005,-2.49534e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0003175000000000001,-2.49534e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00032749999999999967,-2.46197e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.000337500000000001,-2.46197e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0003475000000000006,-2.49534e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0003575000000000002,-2.42859e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.00036749999999999977,-2.46197e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0003775000000000011,-2.42859e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0003875000000000007,-2.42859e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0003975000000000003,-2.42859e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004074999999999999,-2.42859e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004175000000000012,-2.42859e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004275000000000008,-2.39522e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004375000000000004,-2.39522e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004475,-2.39522e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004575000000000013,-2.36185e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004675000000000009,-2.32848e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004775000000000005,-2.29511e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004875000000000001,-2.32848e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0004974999999999997,-2.26173e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.000507500000000001,-2.29511e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005175000000000006,-2.29511e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005275000000000002,-2.29511e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005374999999999998,-2.29511e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005475000000000011,-2.26173e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005575000000000007,-2.26173e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005675000000000003,-2.26173e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005774999999999999,-2.22836e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005875000000000012,-2.22836e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0005975000000000008,-2.22836e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006075000000000004,-2.19499e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006175,-2.22836e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006275000000000013,-2.19499e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006375000000000009,-2.16162e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006475000000000005,-2.12825e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006575000000000001,-2.09487e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006674999999999997,-2.09487e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.000677500000000001,-2.02813e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006875000000000006,-2.0615e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0006975000000000002,-1.96139e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007074999999999998,-1.86127e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007175000000000011,-1.72778e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007275000000000007,-1.39406e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007375000000000003,-6.26504e-07,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007474999999999999,1.8764e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007575000000000012,8.05022e-06,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007675000000000008,1.86292e-05,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007775000000000004,3.28456e-05,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007875,4.97319e-05,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0007975000000000013,6.81532e-05,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008075000000000009,8.62409e-05,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008175000000000005,0.000101125,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008275000000000001,0.000111604,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008374999999999997,0.000118245,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.000847500000000001,0.000122149,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008575000000000006,0.000124285,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008675000000000002,0.00012542,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008774999999999998,0.000125987,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008875000000000011,0.000126421,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
0.0008975000000000007,0.000126888,20250314 mixed pixel 3 50% 0 degree 200Hz.DTA,50%,0,200Hz
